Frequency (Hz)	Level (dB)
2309.436035	-118.611618
2314.819336	-122.244934
2320.202637	-125.677361
2325.585938	-129.497574
2330.969238	-128.074097
2336.352539	-132.661484
2341.735840	-131.209412
2347.119141	-132.858139
2352.502441	-133.853668
2357.885742	-132.147339
2363.269043	-133.233215
2368.652344	-132.011124
2374.035645	-130.339432
2379.418945	-129.853683
2384.802246	-129.502319
2390.185547	-127.564835
2395.568848	-126.781929
2400.952148	-123.643486
2406.335449	-123.773781
2411.718750	-121.189034
2417.102051	-119.373619
2422.485352	-117.153442
2427.868652	-114.722122
2433.251953	-112.269875
2438.635254	-109.229538
2444.018555	-105.989059
2449.401855	-102.296753
2454.785156	-97.800232
2460.168457	-92.500046
2465.551758	-85.676964
2470.935059	-76.215698
2476.318359	-59.621014
2481.701660	-45.198563
2487.084961	-44.953896
2492.468262	-58.495579
2497.851562	-75.724503
2503.234863	-85.339600
2508.618164	-92.251045
2514.001465	-97.623123
2519.384766	-102.176529
2524.768066	-105.784988
2530.151367	-109.317726
2535.534668	-112.153534
2540.917969	-114.756256
2546.301270	-117.457245
2551.684570	-118.924034
2557.067871	-121.457626
2562.451172	-124.377213
2567.834473	-124.194252
2573.217773	-127.187065
2578.601074	-128.589111
2583.984375	-129.545441
2589.367676	-131.167465
2594.750977	-133.779999
2600.134277	-133.447708
2605.517578	-133.732727
2610.900879	-136.425308
2616.284180	-142.687088
2621.667480	-136.948074
2627.050781	-140.292343
2632.434082	-135.145813
2637.817383	-140.274765
2643.200684	-137.999619
2648.583984	-140.171661
2653.967285	-129.174133
2659.350586	-131.458435
2664.733887	-124.131645
2670.117188	-119.317696
2675.500488	-111.248047
2680.883789	-99.080910
2686.267090	-55.221817
2691.650391	-49.446125
2697.033691	-55.711277
2702.416992	-99.911247
2707.800293	-112.034729
2713.183594	-120.365372
2718.566895	-125.912804
2723.950195	-129.133438
2729.333496	-136.356674
2734.716797	-134.831268
2740.100098	-134.656418
2745.483398	-138.088760
2750.866699	-131.460449
2756.250000	-133.138306
2761.633301	-133.845337
2767.016602	-130.994507
2772.399902	-129.374542
2777.783203	-127.750328
2783.166504	-127.159714
2788.549805	-127.178696
2793.933105	-124.218933
2799.316406	-122.929558
2804.699707	-121.776527
2810.083008	-120.427628
2815.466309	-118.364105
2820.849609	-116.861282
2826.232910	-115.027336
2831.616211	-112.883080
2836.999512	-110.564087
2842.382812	-108.323990
2847.766113	-105.605804
2853.149414	-102.645676
2858.532715	-99.401825
2863.916016	-95.521149
2869.299316	-91.063301
2874.682617	-85.596054
2880.065918	-78.644821
2885.449219	-68.863655
2890.832520	-51.023544
2896.215820	-38.218254
2901.599121	-38.898094
2906.982422	-54.158119
2912.365723	-70.242249
2917.749023	-79.560905
2923.132324	-86.298607
2928.515625	-91.606239
2933.898926	-95.998672
2939.282227	-99.758865
2944.665527	-102.980209
2950.048828	-105.990189
2955.432129	-108.396088
2960.815430	-110.874603
2966.198730	-113.106689
2971.582031	-115.007263
2976.965332	-116.755569
2982.348633	-118.853012
2987.731934	-119.706665
2993.115234	-122.147858
2998.498535	-122.812271
3003.881836	-124.174973
3009.265137	-125.926109
3014.648438	-126.394173
3020.031738	-127.877251
3025.415039	-128.500351
3030.798340	-128.146637
3036.181641	-129.637039
3041.564941	-129.735260
3046.948242	-131.368423
3052.331543	-128.485565
3057.714844	-126.487328
3063.098145	-125.564003
3068.481445	-122.256874
3073.864746	-119.006889
3079.248047	-113.953926
3084.631348	-108.108948
3090.014648	-99.961456
3095.397949	-87.276146
3100.781250	-57.938747
3106.164551	-53.174911
3111.547852	-60.514004
3116.931152	-90.477707
3122.314453	-101.991875
3127.697754	-109.846848
3133.081055	-115.444916
3138.464355	-120.848709
3143.847656	-125.169304
3149.230957	-127.924332
3154.614258	-132.249054
3159.997559	-134.537384
3165.380859	-137.780670
3170.764160	-139.893753
3176.147461	-144.752792
3181.530762	-148.569458
3186.914062	-146.056274
3192.297363	-145.898438
3197.680664	-149.887634
3203.063965	-151.973282
3208.447266	-147.468140
3213.830566	-147.866104
3219.213867	-140.065353
3224.597168	-146.526138
3229.980469	-137.038361
3235.363770	-142.321899
3240.747070	-136.774521
3246.130371	-133.069321
3251.513672	-133.307098
3256.896973	-129.129913
3262.280273	-127.779472
3267.663574	-123.627060
3273.046875	-120.791534
3278.430176	-116.837097
3283.813477	-112.081528
3289.196777	-106.771248
3294.580078	-99.561127
3299.963379	-89.468056
3305.346680	-70.087280
3310.729980	-58.731182
3316.113281	-60.339451
3321.496582	-77.596413
3326.879883	-92.726562
3332.263184	-101.728806
3337.646484	-108.320206
3343.029785	-113.609818
3348.413086	-117.963371
3353.796387	-121.091270
3359.179688	-126.176628
3364.562988	-125.963264
3369.946289	-132.215881
3375.329590	-131.227020
3380.712891	-136.162277
3386.096191	-136.564102
3391.479492	-136.114151
3396.862793	-141.020554
3402.246094	-139.780319
3407.629395	-147.854645
3413.012695	-139.229095
3418.395996	-147.080048
3423.779297	-149.498123
3429.162598	-145.678406
3434.545898	-143.630188
3439.929199	-150.383194
3445.312500	-139.450958
3450.695801	-179.481750
3456.079102	-146.333054
3461.462402	-140.660309
3466.845703	-136.834213
3472.229004	-142.181458
3477.612305	-133.541687
3482.995605	-131.292358
3488.378906	-126.530754
3493.762207	-122.105415
3499.145508	-115.480347
3504.528809	-107.082634
3509.912109	-93.744080
3515.295410	-69.776543
3520.678711	-65.994644
3526.062012	-74.461884
3531.445312	-99.488266
3536.828613	-110.481354
3542.211914	-118.013901
3547.595215	-123.600243
3552.978516	-129.008682
3558.361816	-131.491196
3563.745117	-136.073273
3569.128418	-139.292145
3574.511719	-139.549820
3579.895020	-139.262192
3585.278320	-145.237488
3590.661621	-146.017960
3596.044922	-143.183517
3601.428223	-142.231445
3606.811523	-143.632004
3612.194824	-142.048080
3617.578125	-140.796249
3622.961426	-139.057602
3628.344727	-139.012772
3633.728027	-136.411163
3639.111328	-135.374435
3644.494629	-133.662857
3649.877930	-132.678452
3655.261230	-129.593781
3660.644531	-128.084396
3666.027832	-125.736343
3671.411133	-123.586472
3676.794434	-120.839577
3682.177734	-117.727921
3687.561035	-114.449532
3692.944336	-110.473228
3698.327637	-105.872955
3703.710938	-100.227348
3709.094238	-92.944160
3714.477539	-82.454323
3719.860840	-61.125889
3725.244141	-51.089745
3730.627441	-53.635521
3736.010742	-73.318184
3741.394043	-87.594681
3746.777344	-96.371811
3752.160645	-102.824493
3757.543945	-107.926003
3762.927246	-112.324829
3768.310547	-115.800262
3773.693848	-119.137146
3779.077148	-121.771523
3784.460449	-124.524345
3789.843750	-126.999985
3795.227051	-128.696640
3800.610352	-131.033707
3805.993652	-132.130508
3811.376953	-135.245544
3816.760254	-135.546387
3822.143555	-137.145508
3827.526855	-139.045197
3832.910156	-138.196747
3838.293457	-140.516205
3843.676758	-141.776459
3849.060059	-143.516891
3854.443359	-140.208389
3859.826660	-145.436859
3865.209961	-139.664459
3870.593262	-143.376373
3875.976562	-139.442627
3881.359863	-139.456573
3886.743164	-135.404068
3892.126465	-134.813141
3897.509766	-130.384460
3902.893066	-126.368744
3908.276367	-121.593231
3913.659668	-115.223427
3919.042969	-106.452591
3924.426270	-92.463646
3929.809570	-71.949905
3935.192871	-69.125237
3940.576172	-78.791977
3945.959473	-100.839935
3951.342773	-111.383751
3956.726074	-118.719872
3962.109375	-124.491447
3967.492676	-129.348694
3972.875977	-131.910233
3978.259277	-138.143677
3983.642578	-137.760635
3989.025879	-141.173859
3994.409180	-145.745438
3999.792480	-143.662048
4005.175781	-147.020020
4010.559082	-149.159943
4015.942383	-149.444031
4021.325684	-145.888824
4026.708984	-148.151505
4032.092285	-148.701187
4037.475586	-148.465073
4042.858887	-144.187149
4048.242188	-144.897980
4053.625488	-146.282730
4059.008789	-141.401825
4064.392090	-142.587997
4069.775391	-138.973465
4075.158691	-137.105545
4080.541992	-135.505280
4085.925293	-133.000107
4091.308594	-130.244553
4096.691895	-127.334946
4102.075195	-124.033783
4107.458496	-119.831314
4112.841797	-115.322990
4118.225098	-109.422783
4123.608398	-102.033272
4128.991699	-91.151077
4134.375000	-67.133705
4139.758301	-58.321693
4145.141602	-61.819977
4150.524902	-84.642197
4155.908203	-98.201202
4161.291504	-106.721428
4166.674805	-112.965897
4172.058105	-118.188087
4177.441406	-122.192535
4182.824707	-125.938332
4188.208008	-129.006470
4193.591309	-132.181229
4198.974609	-134.028305
4204.357910	-136.717300
4209.741211	-138.467407
4215.124512	-140.960434
4220.507812	-142.575439
4225.891113	-143.570389
4231.274414	-146.392563
4236.657715	-146.205292
4242.041016	-143.538574
4247.424316	-151.067856
4252.807617	-145.800323
4258.190918	-149.134003
4263.574219	-149.392349
4268.957520	-162.631668
4274.340820	-145.215942
4279.724121	-151.643143
4285.107422	-142.014496
4290.490723	-145.923920
4295.874023	-140.463699
4301.257324	-139.056000
4306.640625	-135.752594
4312.023926	-132.774582
4317.407227	-127.369339
4322.790527	-123.054695
4328.173828	-116.225594
4333.557129	-107.242661
4338.940430	-92.414749
4344.323730	-74.504356
4349.707031	-72.622597
4355.090332	-83.577042
4360.473633	-103.520554
4365.856934	-113.636528
4371.240234	-120.994576
4376.623535	-126.328384
4382.006836	-129.640213
4387.390137	-136.153656
4392.773438	-138.810959
4398.156738	-139.459152
4403.540039	-145.473770
4408.923340	-146.277634
4414.306641	-149.486237
4419.689941	-149.863251
4425.073242	-158.251038
4430.456543	-145.456848
4435.839844	-148.247040
4441.223145	-150.506775
4446.606445	-149.739166
4451.989746	-151.665222
4457.373047	-154.876282
4462.756348	-156.405655
4468.139648	-155.158264
4473.522949	-144.121399
4478.906250	-145.530121
4484.289551	-150.519287
4489.672852	-144.209274
4495.056152	-141.376205
4500.439453	-141.478043
4505.822754	-141.689041
4511.206055	-138.231094
4516.589355	-133.504898
4521.972656	-131.763504
4527.355957	-126.025871
4532.739258	-119.809464
4538.122559	-112.427109
4543.505859	-101.094185
4548.889160	-72.904282
4554.272461	-65.240898
4559.655762	-69.712852
4565.039062	-97.143761
4570.422363	-109.917931
4575.805664	-118.737007
4581.188965	-124.230370
4586.572266	-129.367142
4591.955566	-133.538345
4597.338867	-136.435394
4602.722168	-139.410141
4608.105469	-154.773193
4613.488770	-137.263885
4618.872070	-157.644440
4624.255371	-150.903580
4629.638672	-146.938812
4635.021973	-148.238647
4640.405273	-147.088135
4645.788574	-144.618134
4651.171875	-148.313400
4656.555176	-144.140579
4661.938477	-144.137909
4667.321777	-142.626816
4672.705078	-157.466782
4678.088379	-143.603485
4683.471680	-149.725204
4688.854980	-147.037994
4694.238281	-148.706528
4699.621582	-149.467407
4705.004883	-143.572647
4710.388184	-143.300293
4715.771484	-137.840454
4721.154785	-140.799728
4726.538086	-131.109512
4731.921387	-129.650177
4737.304688	-123.852325
4742.687988	-116.735901
4748.071289	-107.709000
4753.454590	-91.873611
4758.837891	-76.071663
4764.221191	-75.123444
4769.604492	-87.501587
4774.987793	-105.674683
4780.371094	-115.692245
4785.754395	-122.622955
4791.137695	-128.407440
4796.520996	-130.973907
4801.904297	-138.625931
4807.287598	-136.655319
4812.670898	-149.648712
4818.054199	-144.836731
4823.437500	-140.576752
4828.820801	-153.288895
4834.204102	-145.153137
4839.587402	-144.452057
4844.970703	-154.523941
4850.354004	-150.067322
4855.737305	-143.779434
4861.120605	-152.163269
4866.503906	-145.187576
4871.887207	-140.542374
4877.270508	-149.859131
4882.653809	-151.095093
4888.037109	-146.769608
4893.420410	-143.381454
4898.803711	-138.178345
4904.187012	-142.220154
4909.570312	-146.570709
